Sample.code,Latitude,Longitude,Region,Season.planted,Grain.As,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Soil.As,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.pH,Soil.Clay,Soil.SOM,Temperature,Rainfall,Humidity,Potential.Evaporation
23Vin2_#1,10.0717,105.928,South,Winter-Spring season,0.31,3127.03,1131.27,19.84,1.78,2.02,0.71,249.27,1136.95,1376.28,797.2,217.92,6.88,68222.09,360.94,1664.97,82.88,14667.5,4.68,26.09,15.34,27.2,4.61,83.32,6.05
23Vin3_#1,10.0734,105.9922,South,Winter-Spring season,0.06,3195.27,991.13,17.98,41.95,1.63,0.53,203.7,1256.79,1162.89,263.4,271.42,7.12,72432.18,404.92,803.94,84.62,16450.3,4.18,30.69,11.05,27.2,4.61,83.32,6.05
23Vin4_#1,10.1424,106.0217,South,Winter-Spring season,0.04,2682.3,855.02,16.68,1.1,1.76,0.49,382.9,2626.53,2375.45,864.47,356.12,8.27,76601.59,518.17,2331.02,85.6,14891.57,4.79,37.19,17.68,27.21,4.6,83.15,6.31
23Vin5_#1,10.0753,106.1705,South,Winter-Spring season,0.17,2963.07,810.7,15.99,3.18,0.98,4.03,534.0,1954.78,738.89,636.47,493.52,9.5,71947.21,623.66,458.27,184.04,29862.18,4.43,15.8,9.49,27.2,4.61,83.32,6.05
23Vin6_#1,10.1243,106.5648,South,Winter-Spring season,0.2,2588.39,632.19,8.61,17.84,0.3,1.79,465.81,1444.76,1330.03,269.06,1066.51,12.08,85675.24,440.34,1134.11,94.54,23734.38,4.4,36.82,14.04,27.21,4.6,83.15,6.31
23Vin7_#1,10.1073,106.6354,South,Winter-Spring season,0.35,2843.47,729.7,14.54,19.0,2.21,4.73,298.49,1057.86,904.38,333.97,469.51,16.33,78166.64,568.14,450.59,170.4,41955.08,4.04,38.97,23.01,27.21,4.6,83.15,6.31
23Vin8_#1,9.9736,106.2253,South,Winter-Spring season,0.13,3107.49,765.73,22.45,18.18,1.85,1.32,144.25,1581.64,1129.61,737.97,186.7,9.04,103245.76,553.6,872.69,91.08,23293.72,4.37,41.3,18.85,27.22,4.67,83.2,5.57
23Vin9_#1,9.9245,106.2263,South,Winter-Spring season,0.2,2888.84,611.52,15.76,8.83,1.02,1.63,292.0,2063.03,915.77,323.75,301.06,9.49,69147.07,715.28,491.21,118.57,28188.76,4.01,45.8,6.24,27.22,4.67,83.2,5.57
23Vin10_#1,9.6501,105.9848,South,Winter-Spring season,0.09,2746.82,642.28,13.29,12.35,1.34,2.31,346.3,1541.86,1139.41,406.33,372.53,8.68,69096.43,709.49,322.21,133.75,28490.53,4.17,36.42,8.84,27.19,5.21,83.41,5.98
23Vin11_#1,9.6899,106.0144,South,Winter-Spring season,0.11,3134.46,917.58,18.51,7.28,1.88,2.23,234.63,2210.04,1346.96,682.48,255.54,11.47,86099.74,640.2,45.63,345.68,38663.14,4.19,44.43,7.02,27.19,5.21,83.41,5.98
